epoch;IoU;acc;kaggle_IoU;loss;lr;val_IoU;val_acc;val_kaggle_IoU;val_loss
0;0.47737577617634086;0.9923515346646309;0.4622149347374216;0.7817393465340138;1e-04;0.5888968661427498;0.9971105414628982;0.5905173110961914;0.377885565161705
1;0.5967479853332043;0.9963828945159912;0.5835917918384075;0.3709197519719601;1e-04;0.6199396976828575;0.9975280034542083;0.6148401683568955;0.33938684344291686
2;0.6309255619347095;0.9966834196448326;0.6182328362762928;0.3237639661133289;1e-04;0.6195359307527543;0.9977892434597015;0.58496467679739;0.3333547216653824
3;0.642664906680584;0.9967672377824783;0.6311884652078151;0.308501752987504;1e-04;0.4737287363409996;0.9972045105695725;0.4186271613836288;0.5389626756310463
4;0.6587835840880871;0.9969649612903595;0.6477425870299339;0.28592270009219645;2e-05;0.6790338253974915;0.9981051933765411;0.6637090268731117;0.2632010427117348
5;0.6718536441028118;0.9969093334674836;0.6616286662220955;0.27269225411117076;2e-05;0.688018102645874;0.9981395536661148;0.6750117003917694;0.25405690088868144
6;0.6754821389913559;0.9970060616731644;0.6652464441955089;0.26698767513036725;2e-05;0.6906864523887635;0.9981699055433273;0.678538014292717;0.2505063192546368
7;0.6716655734181404;0.9970427018404007;0.6622609421610832;0.27050218723714353;2e-05;0.6981909728050232;0.9981291592121124;0.6974610579013825;0.2422299525141716
8;0.6907709045708179;0.9970977160334588;0.6812106503546238;0.2500955430418253;2e-05;0.6995762616395951;0.998157035112381;0.696451627612114;0.24091877602040768
9;0.6888309182226657;0.9970763775706292;0.6792550195753574;0.2516714235395193;2e-05;0.7006087231636048;0.9981618022918701;0.6980932801961899;0.23962816432118417
10;0.689657804965973;0.9971982857584953;0.6800754359364509;0.25087979644536973;2e-05;0.697669289112091;0.9982421779632569;0.6824452877044678;0.24298717014491558
11;0.6972045651078225;0.9971343913674354;0.6883458077907563;0.2429625518620014;4e-06;0.7057494509220124;0.9982530778646469;0.6962519121170044;0.2341707146912813
12;0.6919439665973186;0.9970793408155442;0.6831481762230396;0.24946594282984733;4e-06;0.7061254519224167;0.9982274490594863;0.69974067568779;0.23363060891628265
13;0.6867020180821419;0.9970838582515716;0.6778609392046928;0.25305092535912993;8e-07;0.7067070078849792;0.9982351934909821;0.6998387867212296;0.2330701520293951
14;0.7010833010077476;0.9971592238545418;0.691690836250782;0.23841195829212666;8e-07;0.7069922864437104;0.9982592153549195;0.6973106276988983;0.23260051354765893
15;0.6992729583382606;0.9972088462114335;0.6895859797298908;0.2396762604266405;1.6e-07;0.7075186342000961;0.998260247707367;0.6982373785972595;0.23201550327241421
16;0.7030719378590584;0.9971606034040451;0.6936820673942566;0.2368337804079056;1.6e-07;0.7071853697299957;0.9982592231035232;0.697916584610939;0.23233524724841118
17;0.6991724787652492;0.9971967452764511;0.6889993916451931;0.24063078179955483;3.2e-08;0.7070696514844894;0.9982555043697358;0.6981226706504822;0.23243808940052987
18;0.6970604926347732;0.9971443074941635;0.6885991895198822;0.2426343870162964;1e-08;0.7071719014644623;0.9982561498880387;0.6980501091480256;0.2324627485871315
19;0.6971094173192978;0.9971924293041229;0.6874178814888;0.24178986594080926;1e-08;0.7070831960439682;0.9982564055919647;0.698034365773201;0.23252217076718806
20;0.7010550174117088;0.9971057066321373;0.6916044357419014;0.2399463613331318;1e-08;0.707332918047905;0.9982605814933777;0.6979599756002426;0.23221631690859795
